ORTHO_ID	CA_gene	CG_gene
ORTHO_000120	LOC128155281	LOC105345004
ORTHO_000121	LOC128155282	LOC105348719
ORTHO_000122	LOC128155284	LOC105333574
ORTHO_000123	LOC128155286	LOC105334941
ORTHO_000124	LOC128155287	LOC105334940
ORTHO_000125	LOC128155288	LOC105339151
ORTHO_000126	LOC128155289	LOC105339148
ORTHO_000127	LOC128155291	LOC105339150
ORTHO_000128	LOC128155293	LOC105327468
ORTHO_000129	LOC128155294	LOC105326640
ORTHO_000130	LOC128155296	LOC136272912
ORTHO_000131	LOC128155298	LOC105332463
ORTHO_000132	LOC128155295	LOC105340655
ORTHO_000133	LOC128155299	LOC105344364
ORTHO_000134	LOC128155300	LOC105344361
ORTHO_000135	LOC128155301	LOC105344360
ORTHO_000136	LOC128155304	LOC105348940
ORTHO_000137	LOC128155305	LOC105348941
ORTHO_000138	LOC128155306	LOC105348935
ORTHO_000139	LOC128155302	LOC105342691
ORTHO_000140	LOC128155307	LOC105318028
ORTHO_000141	LOC128155308	LOC105318026
ORTHO_000142	LOC128155309	LOC105318025
ORTHO_000143	LOC128155311	LOC105338914
ORTHO_000144	LOC128155313	LOC105338916
ORTHO_000145	LOC128155314	LOC105338923
ORTHO_000146	LOC128155315	LOC105344284
ORTHO_000147	LOC128155312	LOC105337617
ORTHO_000148	LOC128155316	LOC105344277
ORTHO_000149	LOC128155317	LOC105344260
ORTHO_000150	LOC128155319	LOC105326815
ORTHO_000151	LOC128155320	LOC105326810
ORTHO_000152	LOC128155321	LOC105326811
ORTHO_000153	LOC128155323	LOC117681428
ORTHO_000154	LOC128155324	LOC105326804
ORTHO_000155	LOC128155325	LOC136272960
ORTHO_000156	LOC128155328	LOC105325275
ORTHO_000157	LOC128155329	LOC105330860
ORTHO_000158	LOC128155330	LOC105329240
ORTHO_000159	LOC128155331	LOC105348237
ORTHO_000160	LOC128155332	LOC136272885
ORTHO_000161	LOC128155333	LOC105317854
ORTHO_000162	LOC128155334	LOC105331129
ORTHO_000163	LOC128155336	LOC105331128
ORTHO_000164	LOC128155337	LOC105334996
ORTHO_000165	LOC128155338	LOC117689868
ORTHO_000166	LOC128155339	LOC105334995
ORTHO_000167	LOC128155341	LOC105338450
ORTHO_000168	LOC128155340	LOC109617575
ORTHO_000169	LOC128155342	LOC105338460
ORTHO_000170	LOC128155343	LOC105338458
ORTHO_000171	LOC128155344	LOC105319815
ORTHO_000172	LOC128155345	LOC105338457
ORTHO_000173	LOC128155346	LOC105334998
ORTHO_000174	LOC128155347	LOC105334999
ORTHO_000175	LOC128155348	LOC105328032
ORTHO_000176	LOC128155349	LOC105328033
ORTHO_000177	LOC128155350	LOC105338454
ORTHO_000178	LOC128155352	LOC136272733
ORTHO_000179	LOC128155353	LOC105338456
ORTHO_000180	LOC128155351	LOC105319817
ORTHO_000181	LOC128155356	LOC117685414
ORTHO_000182	LOC128155357	LOC105338453
ORTHO_000183	LOC128155360	LOC109618357
ORTHO_000184	LOC128155361	LOC136272843
ORTHO_000185	LOC128155366	LOC105321225
ORTHO_000186	LOC128155367	LOC105325270
ORTHO_000187	LOC128155369	LOC105321547
ORTHO_000188	LOC128155370	LOC105345682
ORTHO_000189	LOC128155368	LOC105319006
ORTHO_000190	LOC128155371	LOC105327183
ORTHO_000191	LOC128155373	LOC105337754
ORTHO_000192	LOC128155374	LOC105348618
ORTHO_000193	LOC128155375	LOC105323006
ORTHO_000194	LOC128155376	LOC105348467
ORTHO_000195	LOC128155377	LOC105340948
ORTHO_000196	LOC128155378	LOC105348528
ORTHO_000197	LOC128155372	LOC105318987
ORTHO_000198	LOC128155379	LOC105348466
ORTHO_000199	LOC128155380	LOC105348465
ORTHO_000200	LOC128155381	LOC105346277
ORTHO_000201	LOC128155383	LOC105333542
ORTHO_000202	LOC128155384	LOC105327679
ORTHO_000203	LOC128155386	LOC105317852
ORTHO_000204	LOC128155387	LOC105317851
ORTHO_000205	LOC128155388	LOC105317853
ORTHO_000206	LOC128155389	LOC105330047
ORTHO_000207	LOC128155390	LOC105332371
ORTHO_000208	LOC128155391	LOC105339004
ORTHO_000209	LOC128155392	LOC105340790
ORTHO_000210	LOC128155393	LOC105345158
ORTHO_000211	LOC128155394	LOC105317319
ORTHO_000212	LOC128189658	LOC105318289
ORTHO_000213	LOC128155397	LOC105317326
ORTHO_000214	LOC128155399	LOC136272667
ORTHO_000215	LOC128155401	LOC105339441
ORTHO_000216	LOC128155403	LOC105335433
ORTHO_000217	LOC128155404	LOC105318392
ORTHO_000218	LOC128155405	LOC105322668
ORTHO_000219	LOC128155406	LOC105322669
ORTHO_000220	LOC128155408	LOC105318448
ORTHO_000221	LOC128155409	LOC105348359
ORTHO_000222	LOC128155410	LOC105327750
ORTHO_000223	LOC128155412	LOC105327748
ORTHO_000224	LOC128155415	LOC105320752
ORTHO_000225	LOC128155417	LOC105343427
ORTHO_000226	LOC128155418	LOC105339442
ORTHO_000227	LOC128155419	LOC105325274
ORTHO_000228	LOC128155422	LOC109619752
ORTHO_000229	LOC128155423	LOC105338572
ORTHO_000230	LOC128155424	LOC105327926
ORTHO_000231	LOC128155421	LOC105345759
ORTHO_000232	LOC128155426	LOC105330045
ORTHO_000233	LOC128155427	LOC105322514
ORTHO_000234	LOC128155429	LOC105330851
ORTHO_000235	LOC128155430	LOC105327673
ORTHO_000236	LOC128155433	LOC105336114
ORTHO_000237	LOC128155431	LOC105331236
ORTHO_000238	LOC128155434	LOC109619736
ORTHO_000239	LOC128155435	LOC105335235
ORTHO_000240	LOC128155436	LOC117681420
ORTHO_000241	LOC128155437	LOC105335240
ORTHO_000242	LOC128155439	LOC105344018
ORTHO_000243	LOC128155443	LOC105345686
ORTHO_000244	LOC128155440	LOC105348244
ORTHO_000245	LOC128155445	LOC105320954
ORTHO_000246	LOC128155446	LOC105324878
ORTHO_000247	LOC128155448	LOC105332357
ORTHO_000248	LOC128155450	LOC105343566
ORTHO_000249	LOC128155452	LOC105329416
ORTHO_000250	LOC128155449	LOC105317497
ORTHO_000251	LOC128155453	LOC105321235
ORTHO_000252	LOC128155454	LOC105348933
ORTHO_000253	LOC128155455	LOC117681320
ORTHO_000254	LOC128155459	LOC105317496
ORTHO_000255	LOC128155461	LOC105329886
ORTHO_000256	LOC128155467	LOC109619388
ORTHO_000257	LOC128155468	LOC105327949
ORTHO_000258	LOC128155470	LOC105342257
ORTHO_000259	LOC128155469	LOC136275790
ORTHO_000260	LOC128155474	LOC105322677
ORTHO_000261	LOC128155475	LOC105327401
ORTHO_000262	LOC128155476	LOC105331815
ORTHO_000263	LOC128155478	LOC105340920
ORTHO_000264	LOC128155479	LOC105324960
ORTHO_000265	LOC128155477	LOC105347985
ORTHO_000266	LOC128155480	LOC105318444
ORTHO_000267	LOC128155481	LOC105348230
ORTHO_000268	LOC128155482	LOC105348232
ORTHO_000269	LOC128155483	LOC105345685
ORTHO_000270	LOC128155487	LOC105328724
ORTHO_000271	LOC128155488	LOC105320739
ORTHO_000272	LOC128155490	LOC105327395
ORTHO_000273	LOC128155486	LOC105321987
ORTHO_000274	LOC128155491	LOC105329980
ORTHO_000275	LOC128155492	LOC105333944
ORTHO_000276	LOC128155493	LOC105333943
ORTHO_000277	LOC128155495	LOC105321229
ORTHO_000278	LOC128155497	LOC105325227
ORTHO_000279	LOC128155498	LOC105332366
ORTHO_000280	LOC128155499	LOC105345395
ORTHO_000281	LOC128155501	LOC105318006
ORTHO_000282	LOC128155503	LOC117681213
ORTHO_000283	LOC128155504	LOC105336275
ORTHO_000284	LOC128155506	LOC105339921
ORTHO_000285	LOC128155507	LOC117681768
ORTHO_000286	LOC128155508	LOC105338663
ORTHO_000287	LOC128155509	LOC105317581
ORTHO_000288	LOC128155512	LOC105338189
ORTHO_000289	LOC128155510	LOC117687528
ORTHO_000290	LOC128155513	LOC105329829
ORTHO_000291	LOC128155514	LOC105329831
ORTHO_000292	LOC128155515	LOC105329830
ORTHO_000293	LOC128155517	LOC105339236
ORTHO_000294	LOC128155516	LOC105322838
ORTHO_000295	LOC128155518	LOC105329826
ORTHO_000296	LOC128155520	LOC105334550
ORTHO_000297	LOC128155522	LOC105320995
ORTHO_000298	LOC128155525	LOC105319738
ORTHO_000299	LOC128155527	LOC105321253
ORTHO_000300	LOC128155528	LOC136272767
ORTHO_000301	LOC128155526	LOC105317561
ORTHO_000302	LOC128155529	LOC105336584
ORTHO_000303	LOC128155530	LOC105322671
ORTHO_000304	LOC128155531	LOC105335573
ORTHO_000305	LOC128155532	LOC105336323
ORTHO_000306	LOC128155533	LOC105336324
ORTHO_000307	LOC128155534	LOC105336326
ORTHO_000308	LOC128155538	LOC105339038
ORTHO_000309	LOC128155535	LOC105341790
ORTHO_000310	LOC128155540	LOC105335574
ORTHO_000311	LOC128155541	LOC105335575
ORTHO_000312	LOC128155543	LOC117681780
ORTHO_000313	LOC128155544	LOC105340985
ORTHO_000314	LOC128155546	LOC105328408
ORTHO_000315	LOC128155545	LOC105327363
ORTHO_000316	LOC128155547	LOC117681554
ORTHO_000317	LOC128155549	LOC105338600
ORTHO_000318	LOC128155551	LOC105326371
ORTHO_000319	LOC128155555	LOC105339599
ORTHO_000320	LOC128155556	LOC105339600
ORTHO_000321	LOC128155557	LOC105320561
ORTHO_000322	LOC128155558	LOC109621058
ORTHO_000323	LOC128155559	LOC105334975
ORTHO_000324	LOC128155560	LOC105326068
ORTHO_000325	LOC128155563	LOC105322258
ORTHO_000326	LOC128155564	LOC105332139
ORTHO_000327	LOC128155562	LOC105331184
ORTHO_000328	LOC128155566	LOC105330948
ORTHO_000329	LOC128155567	LOC105330947
ORTHO_000330	LOC128155570	LOC105346276
ORTHO_000331	LOC128155571	LOC105347814
ORTHO_000332	LOC128155573	LOC105317868
ORTHO_000333	LOC128155574	LOC105317866
ORTHO_000334	LOC128155572	LOC105331183
ORTHO_000335	LOC128155575	LOC105346847
ORTHO_000336	LOC128155576	LOC105339639
ORTHO_000337	LOC128155577	LOC105328958
ORTHO_000338	LOC128155579	LOC117681152
ORTHO_000339	LOC128155581	LOC105329372
ORTHO_000340	LOC128155578	LOC105323144
ORTHO_000341	LOC128155582	LOC105329370
ORTHO_000342	LOC128155583	LOC105329371
ORTHO_000343	LOC128155584	LOC105317593
ORTHO_000344	LOC128155585	LOC105330615
ORTHO_000345	LOC128155586	LOC105317582
ORTHO_000346	LOC128155589	LOC105317421
ORTHO_000347	LOC128155590	LOC136273215
ORTHO_000348	LOC128155591	LOC105336256
ORTHO_000349	LOC128155592	LOC105331478
ORTHO_000350	LOC128155594	LOC105329702
ORTHO_000351	LOC128155593	LOC105348256
ORTHO_000352	LOC128155595	LOC105324995
ORTHO_000353	LOC128155597	LOC105345159
ORTHO_000354	LOC128155598	LOC105346291
ORTHO_000355	LOC128155599	LOC105330362
ORTHO_000356	LOC128155600	LOC105346284
ORTHO_000357	LOC128155601	LOC105346283
ORTHO_000358	LOC128155602	LOC105346290
ORTHO_000359	LOC128155603	LOC105346282
ORTHO_000360	LOC128155605	LOC109618269
ORTHO_000361	LOC128155606	LOC105324598
ORTHO_000362	LOC128155607	LOC105324595
ORTHO_000363	LOC128155604	LOC105330363
ORTHO_000364	LOC128155612	LOC105341965
ORTHO_000365	LOC128155613	LOC105341955
ORTHO_000366	LOC128155614	LOC136272698
ORTHO_000367	LOC128155616	LOC105318609
ORTHO_000368	LOC128155617	LOC105335576
ORTHO_000369	LOC128155620	LOC105343417
ORTHO_000370	LOC128155618	LOC105330360
ORTHO_000371	LOC128155621	LOC105343419
ORTHO_000372	LOC128155622	LOC105320559
ORTHO_000373	LOC128155623	LOC105330291
ORTHO_000374	LOC128155624	LOC105330642
ORTHO_000375	LOC128155625	LOC105329772
ORTHO_000376	LOC128155626	LOC105329766
ORTHO_000377	LOC128155627	LOC105341074
ORTHO_000378	LOC128155628	LOC105339597
ORTHO_000379	LOC128155629	LOC105318451
ORTHO_000380	LOC128155632	LOC105347140
ORTHO_000381	LOC128155633	LOC136272626
ORTHO_000382	LOC128155630	LOC105330361
ORTHO_000383	LOC128155635	LOC105320781
ORTHO_000384	LOC128155636	LOC105331264
ORTHO_000385	LOC128155638	LOC105327747
ORTHO_000386	LOC128155639	LOC105327745
ORTHO_000387	LOC128155640	LOC105342650
ORTHO_000388	LOC128155644	LOC105321892
ORTHO_000389	LOC128155645	LOC105324023
ORTHO_000390	LOC128155648	LOC105336113
ORTHO_000391	LOC128155649	LOC105332166
ORTHO_000392	LOC128155646	LOC105330366
ORTHO_000393	LOC128155650	LOC105320088
ORTHO_000394	LOC128155651	LOC105320560
ORTHO_000395	LOC128155652	LOC105341586
ORTHO_000396	LOC128155653	LOC105330843
ORTHO_000397	LOC128155656	LOC136272699
ORTHO_000398	LOC128155658	LOC105320276
ORTHO_000399	LOC128155655	LOC105333215
ORTHO_000400	LOC128155659	LOC105320932
ORTHO_000401	LOC128155660	LOC105320931
ORTHO_000402	LOC128155661	LOC105320930
ORTHO_000403	LOC128155662	LOC105328284
ORTHO_000404	LOC128155663	LOC117681080
ORTHO_000405	LOC128155666	LOC105348751
ORTHO_000406	LOC128155667	LOC105348749
ORTHO_000407	LOC128155664	LOC105320594
ORTHO_000408	LOC128155668	LOC105338743
ORTHO_000409	LOC128155669	LOC105330613
ORTHO_000410	LOC128155670	LOC105336253
ORTHO_000411	LOC128155672	LOC105336255
ORTHO_000412	LOC128155673	LOC105336254
ORTHO_000413	LOC128155674	LOC105323916
ORTHO_000414	LOC128155671	LOC136275684
ORTHO_000415	LOC128155676	LOC105319216
ORTHO_000416	LOC128155677	LOC105336523
ORTHO_000417	LOC128155679	LOC136272853
ORTHO_000418	LOC128155680	LOC136269695
ORTHO_000419	LOC128155684	LOC105340982
ORTHO_000420	LOC128155685	LOC105340981
ORTHO_000421	LOC128155688	LOC117681862
ORTHO_000422	LOC128155689	LOC105343628
ORTHO_000423	LOC128155690	LOC105339031
ORTHO_000424	LOC128155691	LOC105339032
ORTHO_000425	LOC128155693	LOC105339030
ORTHO_000426	LOC128155695	LOC105338068
ORTHO_000427	LOC128155692	LOC105342485
ORTHO_000428	LOC128155696	LOC105329822
ORTHO_000429	LOC128155697	LOC105339028
ORTHO_000430	LOC128155698	LOC117681440
ORTHO_000431	LOC128155699	LOC105322188
ORTHO_000432	LOC128155700	LOC117681024
ORTHO_000433	LOC128155701	LOC105334936
ORTHO_000434	LOC128155702	LOC105343923
ORTHO_000435	LOC128155704	LOC105348241
ORTHO_000436	LOC128155706	LOC105326368
ORTHO_000437	LOC128155707	LOC105339598
ORTHO_000438	LOC128155708	LOC105340372
ORTHO_000439	LOC128155710	LOC105348829
ORTHO_000440	LOC128155712	LOC105317590
ORTHO_000441	LOC128155713	LOC117681309
ORTHO_000442	LOC128155715	LOC105334943
ORTHO_000443	LOC128155717	LOC105322670
ORTHO_000444	LOC128155719	LOC105317983
ORTHO_000445	LOC128155720	LOC105326641
ORTHO_000446	LOC128155721	LOC105318450
ORTHO_000447	LOC128155722	LOC105329705
ORTHO_000448	LOC128155723	LOC105329724
ORTHO_000449	LOC128155724	LOC105345683
ORTHO_000450	LOC128155725	LOC105328710
ORTHO_000451	LOC128155726	LOC105328711
ORTHO_000452	LOC128155727	LOC105328037
ORTHO_000453	LOC128155730	LOC105325268
ORTHO_000454	LOC128155731	LOC117687131
ORTHO_000455	LOC128155728	LOC117680348
ORTHO_000456	LOC128155732	LOC105334919
ORTHO_000457	LOC128155733	LOC136274579
ORTHO_000458	LOC128155737	LOC105321241
ORTHO_000459	LOC128155741	LOC105328285
ORTHO_000460	LOC128155743	LOC105334368
ORTHO_000461	LOC128155744	LOC105345754
ORTHO_000462	LOC128155745	LOC105321044
ORTHO_000463	LOC128155747	LOC117681637
ORTHO_000464	LOC128155746	LOC105343488
ORTHO_000465	LOC128155750	LOC105317981
ORTHO_000466	LOC128155752	LOC105335234
ORTHO_000467	LOC128155753	LOC105337753
ORTHO_000468	LOC128155755	LOC105318327
ORTHO_000469	LOC128155756	LOC105334199
ORTHO_000470	LOC128155754	LOC105336173
ORTHO_000471	LOC128155757	LOC105345607
ORTHO_000472	LOC128155758	LOC105331812
ORTHO_000473	LOC128155761	LOC105333330
ORTHO_000474	LOC128155763	LOC105343828
ORTHO_000475	LOC128155764	LOC117681597
ORTHO_000476	LOC128155765	LOC105320920
ORTHO_000477	LOC128155768	LOC105330030
ORTHO_000478	LOC128155770	LOC105319666
ORTHO_000479	LOC128155771	LOC105324887
ORTHO_000480	LOC128155773	LOC117681649
ORTHO_000481	LOC128155774	LOC105333540
ORTHO_000482	LOC128155775	LOC105320779
ORTHO_000483	LOC128155772	LOC117681621
ORTHO_000484	LOC128155776	LOC105320778
ORTHO_000485	LOC128155777	LOC105320776
ORTHO_000486	LOC128155778	LOC105338463
ORTHO_000487	LOC128155780	LOC105330626
ORTHO_000488	LOC128155781	LOC105321242
ORTHO_000489	LOC128155782	LOC105317679
ORTHO_000490	LOC128155783	LOC105324560
ORTHO_000491	LOC128155784	LOC105338608
ORTHO_000492	LOC128155786	LOC105338610
ORTHO_000493	LOC128155787	LOC105339114
ORTHO_000494	LOC128155788	LOC105318443
ORTHO_000495	LOC128155785	LOC105347024
ORTHO_000496	LOC128155789	LOC109621112
ORTHO_000497	LOC128155792	LOC105330850
ORTHO_000498	LOC128155794	LOC105324356
ORTHO_000499	LOC128155795	LOC105324344
ORTHO_000500	LOC128155793	LOC105319564
ORTHO_000501	LOC128155796	LOC105321671
ORTHO_000502	LOC128155797	LOC105327330
ORTHO_000503	LOC128155798	LOC105332447
ORTHO_000504	LOC128155801	LOC105327398
ORTHO_000505	LOC128155803	LOC105330912
ORTHO_000506	LOC128155802	LOC105331854
ORTHO_000507	LOC128155807	LOC117681820
ORTHO_000508	LOC128155810	LOC117681321
ORTHO_000509	LOC128155812	LOC105343625
ORTHO_000510	LOC128155813	LOC105329848
ORTHO_000511	LOC128155811	LOC105331492
ORTHO_000512	LOC128155814	LOC105347812
ORTHO_000513	LOC128155815	LOC105347811
ORTHO_000514	LOC128155816	LOC105340656
ORTHO_000515	LOC128155817	LOC105347807
ORTHO_000516	LOC128155819	LOC105347808
ORTHO_000517	LOC128155820	LOC105347809
ORTHO_000518	LOC128155821	LOC105326659
ORTHO_000519	LOC128155824	LOC105339477
ORTHO_000520	LOC128155825	LOC105331673
ORTHO_000521	LOC128155827	LOC105318396
ORTHO_000522	LOC128155828	LOC105318500
ORTHO_000523	LOC128155830	LOC105320756
ORTHO_000524	LOC128155837	LOC105348338
ORTHO_000525	LOC128155838	LOC117681104
ORTHO_000526	LOC128155840	LOC105324853
ORTHO_000527	LOC128155841	LOC105324852
ORTHO_000528	LOC128155839	LOC105327775
ORTHO_000529	LOC128155845	LOC105321816
ORTHO_000530	LOC128155846	LOC105330606
ORTHO_000531	LOC128155850	LOC117681727
ORTHO_000532	LOC128155847	LOC105338567
ORTHO_000533	LOC128155851	LOC105329868
ORTHO_000534	LOC128155854	LOC105321674
ORTHO_000535	LOC128155855	LOC105317311
ORTHO_000536	LOC128155857	LOC105331105
ORTHO_000537	LOC128155859	LOC105344216
ORTHO_000538	LOC128155860	LOC105320675
ORTHO_000539	LOC128155861	LOC105336621
ORTHO_000540	LOC128155862	LOC105337558
ORTHO_000541	LOC128155863	LOC105332967
ORTHO_000542	LOC128155866	LOC105319249
ORTHO_000543	LOC128155868	LOC105338566
ORTHO_000544	LOC128155870	LOC105318606
ORTHO_000545	LOC128155871	LOC105320998
ORTHO_000546	LOC128155872	LOC105317588
ORTHO_000547	LOC128155873	LOC105334567
ORTHO_000548	LOC128155876	LOC117681648
ORTHO_000549	LOC128155877	LOC105347204
ORTHO_000550	LOC128155879	LOC105338869
ORTHO_000551	LOC128155882	LOC105321007
ORTHO_000552	LOC128155883	LOC105340879
ORTHO_000553	LOC128155884	LOC105317309
ORTHO_000554	LOC128155878	LOC105327264
ORTHO_000555	LOC128155887	LOC105325524
ORTHO_000556	LOC128155890	LOC105322212
ORTHO_000557	LOC128155891	LOC105323968
ORTHO_000558	LOC128155893	LOC136272669
ORTHO_000559	LOC128155895	LOC105327407
ORTHO_000560	LOC128155896	LOC105330135
ORTHO_000561	LOC128155897	LOC105336252
ORTHO_000562	LOC128155898	LOC136272690
ORTHO_000563	LOC128155900	LOC105325849
ORTHO_000564	LOC128155901	LOC117680972
ORTHO_000565	LOC128155903	LOC105346992
ORTHO_000566	LOC128155906	LOC105321815
ORTHO_000567	LOC128155905	LOC105341780
ORTHO_000568	LOC128155909	LOC105348786
ORTHO_000569	LOC128155911	LOC105348788
ORTHO_000570	LOC128155914	LOC117681111
ORTHO_000571	LOC128155916	LOC105335415
ORTHO_000572	LOC128155917	LOC105334549
ORTHO_000573	LOC128155918	LOC105345409
ORTHO_000574	LOC128155919	LOC105335232
ORTHO_000575	LOC128155920	LOC117681481
ORTHO_000576	LOC128155923	LOC105346493
ORTHO_000577	LOC128155924	LOC105330039
ORTHO_000578	LOC128155925	LOC105330038
ORTHO_000579	LOC128155922	LOC105336544
ORTHO_000580	LOC128155926	LOC105344352
ORTHO_000581	LOC128155927	LOC105328304
ORTHO_000582	LOC128155928	LOC105340791
ORTHO_000583	LOC128155929	LOC105348738
ORTHO_000584	LOC128155930	LOC117681674
ORTHO_000585	LOC128155933	LOC105331343
ORTHO_000586	LOC128155934	LOC105320417
ORTHO_000587	LOC128155935	LOC105320424
ORTHO_000588	LOC128155937	LOC105342155
ORTHO_000589	LOC128155940	LOC105340943
ORTHO_000590	LOC128155944	LOC105329036
ORTHO_000591	LOC128155946	LOC117681158
ORTHO_000592	LOC128155947	LOC105322251
ORTHO_000593	LOC128155948	LOC105317498
ORTHO_000594	LOC128155950	LOC105322253
ORTHO_000595	LOC128155951	LOC105323489
ORTHO_000596	LOC128155949	LOC109617279
ORTHO_000597	LOC128155953	LOC105340955
ORTHO_000598	LOC128155954	LOC105338517
ORTHO_000599	LOC128155955	LOC105323087
ORTHO_000600	LOC128155962	LOC105319624
ORTHO_000601	LOC128155963	LOC105333169
ORTHO_000602	LOC128155964	LOC105335703
ORTHO_000603	LOC128155965	LOC105332168
ORTHO_000604	LOC128155967	LOC136272670
ORTHO_000605	LOC128155969	LOC105338899
ORTHO_000606	LOC128155970	LOC105327532
