CAmt|atp6::CM046786.1:9839-10508(+)	CAmt|atp6
CA|XM_052816701.1	LOC128155133
CA|XM_052816702.1	LOC128155134
CA|XM_052816703.1	LOC128155136
CA|XM_052816704.1	LOC128155136
CA|XM_052816705.1	LOC128155137
CA|XM_052816706.1	LOC128155139
CA|XM_052816707.1	LOC128155140
CA|XM_052816708.1	LOC128155141
CA|XM_052816709.1	LOC128155141
CA|XM_052816710.1	LOC128155138
CA|XM_052816711.1	LOC128155142
CA|XM_052816712.1	LOC128155143
CA|XM_052816713.1	LOC128155144
CA|XM_052816714.1	LOC128155145
CA|XM_052816715.1	LOC128155146
CA|XM_052816716.1	LOC128155147
CA|XM_052816717.1	LOC128155148
CA|XM_052816718.1	LOC128155148
CA|XM_052816719.1	LOC128155148
CA|XM_052816720.1	LOC128155148
CA|XM_052816721.1	LOC128155149
CA|XM_052816722.1	LOC128155148
CA|XM_052816723.1	LOC128155148
CA|XM_052816724.1	LOC128155150
CA|XM_052816725.1	LOC128155151
CA|XM_052816726.1	LOC128155151
CA|XM_052816727.1	LOC128155152
CA|XM_052816728.1	LOC128155153
CA|XM_052816729.1	LOC128155155
CA|XM_052816730.1	LOC128155156
CA|XM_052816731.1	LOC128155156
CA|XM_052816732.1	LOC128155157
CA|XM_052816733.1	LOC128193000
CA|XM_052816734.1	LOC128155154
CA|XM_052816735.1	LOC128155158
CA|XM_052816736.1	LOC128155159
CA|XM_052816737.1	LOC128155159
CA|XM_052816738.1	LOC128155159
CA|XM_052816739.1	LOC128155160
CA|XM_052816740.1	LOC128155161
CA|XM_052816741.1	LOC128155161
CA|XM_052816742.1	LOC128155162
CA|XM_052816743.1	LOC128155164
CA|XM_052816744.1	LOC128155164
CA|XM_052816745.1	LOC128155164
CA|XM_052816746.1	LOC128155163
CA|XM_052816747.1	LOC128155167
CA|XM_052816748.1	LOC128155167
CA|XM_052816749.1	LOC128155167
CA|XM_052816750.1	LOC128155168
CA|XM_052816751.1	LOC128155169
CA|XM_052816752.1	LOC128155169
CA|XM_052816753.1	LOC128155170
CA|XM_052816754.1	LOC128155172
CA|XM_052816755.1	LOC128155173
CA|XM_052816756.1	LOC128155174
CA|XM_052816757.1	LOC128155174
CA|XM_052816758.1	LOC128155174
CA|XM_052816759.1	LOC128155175
CA|XM_052816760.1	LOC128155176
CA|XM_052816761.1	LOC128155178
CA|XM_052816762.1	LOC128155178
CA|XM_052816763.1	LOC128155178
CA|XM_052816764.1	LOC128155179
CA|XM_052816765.1	LOC128155177
CA|XM_052816766.1	LOC128155180
CA|XM_052816767.1	LOC128155180
CA|XM_052816768.1	LOC128155180
CA|XM_052816769.1	LOC128155181
CA|XM_052816770.1	LOC128155181
CA|XM_052816771.1	LOC128155182
CA|XM_052816772.1	LOC128155182
CA|XM_052816773.1	LOC128155182
CA|XM_052816774.1	LOC128155182
CA|XM_052816775.1	LOC128155177
CA|XM_052816776.1	LOC128155182
CA|XM_052816777.1	LOC128155182
CA|XM_052816778.1	LOC128155182
CA|XM_052816779.1	LOC128155183
CA|XM_052816780.1	LOC128155183
CA|XM_052816781.1	LOC128155183
CA|XM_052816782.1	LOC128155183
CA|XM_052816783.1	LOC128155183
CA|XM_052816784.1	LOC128155183
CA|XM_052816785.1	LOC128155183
CA|XM_052816786.1	LOC128155185
CA|XM_052816787.1	LOC128155187
CA|XM_052816788.1	LOC128155184
CA|XM_052816789.1	LOC128155188
CA|XM_052816790.1	LOC128155189
CA|XM_052816791.1	LOC128155189
CA|XM_052816792.1	LOC128155192
CA|XM_052816793.1	LOC128155192
CA|XM_052816794.1	LOC128155184
CA|XM_052816795.1	LOC128155193
CA|XM_052816796.1	LOC128155199
CA|XM_052816797.1	LOC128155196
CA|XM_052816798.1	LOC128155200
CA|XM_052816799.1	LOC128155201
CA|XM_052816800.1	LOC128155202
CA|XM_052816801.1	LOC128155203
CA|XM_052816802.1	LOC128155204
CA|XM_052816803.1	LOC128155205
CA|XM_052816804.1	LOC128155206
CA|XM_052816805.1	LOC128193000
CA|XM_052816806.1	LOC128155196
CA|XM_052816807.1	LOC128155207
CA|XM_052816808.1	LOC128155208
CA|XM_052816809.1	LOC128155209
CA|XM_052816810.1	LOC128155212
CA|XM_052816811.1	LOC128155212
CA|XM_052816812.1	LOC128155212
CA|XM_052816813.1	LOC128155212
CA|XM_052816814.1	LOC128155212
CA|XM_052816815.1	LOC128155212
CA|XM_052816816.1	LOC128155212
CA|XM_052816817.1	LOC128155213
CA|XM_052816818.1	LOC128155212
CA|XM_052816819.1	LOC128155214
CA|XM_052816820.1	LOC128155215
CA|XM_052816821.1	LOC128155216
CA|XM_052816822.1	LOC128155217
CA|XM_052816823.1	LOC128155218
CA|XM_052816824.1	LOC128155219
CA|XM_052816825.1	LOC128155221
CA|XM_052816826.1	LOC128155222
CA|XM_052816827.1	LOC128155223
CA|XM_052816828.1	LOC128155220
CA|XM_052816829.1	LOC128155224
CA|XM_052816830.1	LOC128155224
CA|XM_052816831.1	LOC128155224
CA|XM_052816832.1	LOC128155225
CA|XM_052816833.1	LOC128155226
CA|XM_052816834.1	LOC128155226
CA|XM_052816835.1	LOC128155227
CA|XM_052816836.1	LOC128155228
CA|XM_052816837.1	LOC128155228
CA|XM_052816838.1	LOC128155231
CA|XM_052816839.1	LOC128155232
CA|XM_052816840.1	LOC128155229
CA|XM_052816841.1	LOC128155232
CA|XM_052816842.1	LOC128155233
CA|XM_052816843.1	LOC128155234
CA|XM_052816844.1	LOC128155234
CA|XM_052816845.1	LOC128155235
CA|XM_052816846.1	LOC128155235
CA|XM_052816847.1	LOC128155236
CA|XM_052816848.1	LOC128155238
CA|XM_052816849.1	LOC128155239
CA|XM_052816850.1	LOC128155240
CA|XM_052816851.1	LOC128155240
CA|XM_052816852.1	LOC128155237
CA|XM_052816853.1	LOC128155241
CA|XM_052816854.1	LOC128155242
CA|XM_052816855.1	LOC128155242
CA|XM_052816856.1	LOC128155242
CA|XM_052816857.1	LOC128155243
CA|XM_052816858.1	LOC128155243
CA|XM_052816859.1	LOC128155243
CA|XM_052816860.1	LOC128155244
CA|XM_052816861.1	LOC128155244
CA|XM_052816862.1	LOC128155246
CA|XM_052816863.1	LOC128155247
CA|XM_052816864.1	LOC128155248
CA|XM_052816865.1	LOC128155248
CA|XM_052816866.1	LOC128155249
CA|XM_052816867.1	LOC128155250
CA|XM_052816868.1	LOC128155252
CA|XM_052816869.1	LOC128155254
CA|XM_052816870.1	LOC128155251
CA|XM_052816871.1	LOC128155255
CA|XM_052816872.1	LOC128155256
CA|XM_052816873.1	LOC128155256
CA|XM_052816874.1	LOC128155256
CA|XM_052816875.1	LOC128155256
CA|XM_052816876.1	LOC128155256
CA|XM_052816877.1	LOC128155257
CA|XM_052816878.1	LOC128155258
CA|XM_052816879.1	LOC128155251
CA|XM_052816880.1	LOC128155258
CA|XM_052816881.1	LOC128155259
CA|XM_052816882.1	LOC128155260
CA|XM_052816883.1	LOC128155261
CA|XM_052816884.1	LOC128193000
CA|XM_052816885.1	LOC128155262
CA|XM_052816886.1	LOC128155263
CA|XM_052816887.1	LOC128155264
CA|XM_052816888.1	LOC128155264
CA|XM_052816889.1	LOC128155264
CA|XM_052816890.1	LOC128155266
CA|XM_052816891.1	LOC128155267
CA|XM_052816892.1	LOC128155265
CA|XM_052816893.1	LOC128155268
CA|XM_052816894.1	LOC128155269
CA|XM_052816895.1	LOC128155269
CA|XM_052816896.1	LOC128155270
CA|XM_052816897.1	LOC128155271
CA|XM_052816898.1	LOC128155271
CA|XM_052816899.1	LOC128155271
CA|XM_052816900.1	LOC128155272
CA|XM_052816901.1	LOC128155274
CA|XM_052816902.1	LOC128155275
CA|XM_052816903.1	LOC128155276
CA|XM_052816904.1	LOC128155273
CA|XM_052816905.1	LOC128155277
CA|XM_052816906.1	LOC128155278
CA|XM_052816907.1	LOC128155279
CA|XM_052816908.1	LOC128155279
CA|XM_052816909.1	LOC128155280
CA|XM_052816910.1	LOC128155281
CA|XM_052816911.1	LOC128155282
CA|XM_052816912.1	LOC128155284
CA|XM_052816913.1	LOC128155285
CA|XM_052816914.1	LOC128155286
CA|XM_052816915.1	LOC128155286
CA|XM_052816916.1	LOC128155286
CA|XM_052816917.1	LOC128155287
CA|XM_052816918.1	LOC128155287
CA|XM_052816919.1	LOC128155287
CA|XM_052816920.1	LOC128155287
CA|XM_052816921.1	LOC128155287
CA|XM_052816922.1	LOC128155288
CA|XM_052816923.1	LOC128155288
CA|XM_052816924.1	LOC128155289
CA|XM_052816925.1	LOC128155291
CA|XM_052816926.1	LOC128155292
CA|XM_052816927.1	LOC128155293
CA|XM_052816928.1	LOC128155293
CA|XM_052816929.1	LOC128155294
CA|XM_052816930.1	LOC128155294
CA|XM_052816931.1	LOC128155294
CA|XM_052816932.1	LOC128155296
CA|XM_052816933.1	LOC128155296
CA|XM_052816934.1	LOC128155298
CA|XM_052816935.1	LOC128155295
CA|XM_052816936.1	LOC128155299
CA|XM_052816937.1	LOC128155299
CA|XM_052816938.1	LOC128155299
CA|XM_052816939.1	LOC128155299
CA|XM_052816940.1	LOC128155300
CA|XM_052816941.1	LOC128155300
CA|XM_052816942.1	LOC128155301
CA|XM_052816943.1	LOC128155301
CA|XM_052816944.1	LOC128155304
CA|XM_052816945.1	LOC128155305
CA|XM_052816946.1	LOC128155306
CA|XM_052816947.1	LOC128155302
CA|XM_052816948.1	LOC128155306
CA|XM_052816949.1	LOC128155307
CA|XM_052816950.1	LOC128155308
CA|XM_052816951.1	LOC128155308
CA|XM_052816952.1	LOC128155309
CA|XM_052816953.1	LOC128155311
CA|XM_052816954.1	LOC128155311
CA|XM_052816955.1	LOC128155313
CA|XM_052816956.1	LOC128155314
CA|XM_052816957.1	LOC128155315
CA|XM_052816958.1	LOC128155312
CA|XM_052816959.1	LOC128155316
CA|XM_052816960.1	LOC128155317
CA|XM_052816961.1	LOC128155318
CA|XM_052816962.1	LOC128193000
CA|XM_052816963.1	LOC128155319
CA|XM_052816964.1	LOC128155319
CA|XM_052816965.1	LOC128155320
CA|XM_052816966.1	LOC128155320
CA|XM_052816967.1	LOC128155321
CA|XM_052816968.1	LOC128155323
CA|XM_052816969.1	LOC128155324
CA|XM_052816970.1	LOC128155325
CA|XM_052816971.1	LOC128155322
CA|XM_052816972.1	LOC128155327
CA|XM_052816973.1	LOC128155328
CA|XM_052816974.1	LOC128155329
CA|XM_052816975.1	LOC128155330
CA|XM_052816976.1	LOC128155331
CA|XM_052816977.1	LOC128155331
CA|XM_052816978.1	LOC128155322
CA|XM_052816979.1	LOC128155331
CA|XM_052816980.1	LOC128155331
CA|XM_052816981.1	LOC128155331
CA|XM_052816982.1	LOC128155331
CA|XM_052816983.1	LOC128155332
CA|XM_052816984.1	LOC128155332
CA|XM_052816985.1	LOC128155332
CA|XM_052816986.1	LOC128155333
CA|XM_052816987.1	LOC128155334
CA|XM_052816988.1	LOC128155334
CA|XM_052816989.1	LOC128155334
CA|XM_052816990.1	LOC128155336
CA|XM_052816991.1	LOC128155337
CA|XM_052816992.1	LOC128155338
CA|XM_052816993.1	LOC128155339
CA|XM_052816994.1	LOC128155339
CA|XM_052816995.1	LOC128155339
CA|XM_052816996.1	LOC128155341
CA|XM_052816997.1	LOC128155341
CA|XM_052816998.1	LOC128155341
CA|XM_052816999.1	LOC128155341
CA|XM_052817000.1	LOC128155340
CA|XM_052817001.1	LOC128155341
CA|XM_052817002.1	LOC128155342
CA|XM_052817003.1	LOC128155342
CA|XM_052817004.1	LOC128155342
CA|XM_052817005.1	LOC128155343
CA|XM_052817006.1	LOC128155343
CA|XM_052817007.1	LOC128155343
CA|XM_052817008.1	LOC128155343
CA|XM_052817009.1	LOC128155343
CA|XM_052817010.1	LOC128155343
CA|XM_052817011.1	LOC128155343
CA|XM_052817012.1	LOC128155343
CA|XM_052817013.1	LOC128155343
CA|XM_052817014.1	LOC128155343
CA|XM_052817015.1	LOC128155344
CA|XM_052817016.1	LOC128155343
CA|XM_052817017.1	LOC128155345
CA|XM_052817018.1	LOC128155346
CA|XM_052817019.1	LOC128155347
CA|XM_052817020.1	LOC128155348
CA|XM_052817021.1	LOC128155349
CA|XM_052817022.1	LOC128155350
CA|XM_052817023.1	LOC128155352
CA|XM_052817024.1	LOC128155353
CA|XM_052817025.1	LOC128155351
CA|XM_052817026.1	LOC128155355
CA|XM_052817027.1	LOC128155356
CA|XM_052817028.1	LOC128155357
CA|XM_052817029.1	LOC128155358
CA|XM_052817030.1	LOC128155359
CA|XM_052817031.1	LOC128155360
CA|XM_052817032.1	LOC128155361
CA|XM_052817033.1	LOC128155351
CA|XM_052817034.1	LOC128155364
CA|XM_052817035.1	LOC128155364
CA|XM_052817036.1	LOC128155365
CA|XM_052817037.1	LOC128155366
CA|XM_052817038.1	LOC128155367
CA|XM_052817039.1	LOC128155369
CA|XM_052817040.1	LOC128155370
CA|XM_052817041.1	LOC128155370
CA|XM_052817042.1	LOC128155370
CA|XM_052817043.1	LOC128193000
CA|XM_052817044.1	LOC128155368
CA|XM_052817045.1	LOC128155370
CA|XM_052817046.1	LOC128155370
CA|XM_052817047.1	LOC128155370
CA|XM_052817048.1	LOC128155370
CA|XM_052817049.1	LOC128155370
CA|XM_052817050.1	LOC128155371
CA|XM_052817051.1	LOC128155371
CA|XM_052817052.1	LOC128155371
CA|XM_052817053.1	LOC128155371
CA|XM_052817054.1	LOC128155371
CA|XM_052817055.1	LOC128155371
CA|XM_052817056.1	LOC128155373
CA|XM_052817057.1	LOC128155374
CA|XM_052817058.1	LOC128155372
CA|XM_052817059.1	LOC128155375
CA|XM_052817060.1	LOC128155376
CA|XM_052817061.1	LOC128155376
CA|XM_052817062.1	LOC128155376
CA|XM_052817063.1	LOC128155376
CA|XM_052817064.1	LOC128155377
CA|XM_052817065.1	LOC128155377
CA|XM_052817066.1	LOC128155378
CA|XM_052817067.1	LOC128155372
CA|XM_052817068.1	LOC128155379
CA|XM_052817069.1	LOC128155379
CA|XM_052817070.1	LOC128155380
CA|XM_052817071.1	LOC128155381
CA|XM_052817072.1	LOC128155381
CA|XM_052817073.1	LOC128155382
CA|XM_052817074.1	LOC128155383
CA|XM_052817075.1	LOC128155384
CA|XM_052817076.1	LOC128155386
CA|XM_052817077.1	LOC128155387
CA|XM_052817078.1	LOC128155388
CA|XM_052817079.1	LOC128155385
CA|XM_052817080.1	LOC128155389
CA|XM_052817081.1	LOC128155390
CA|XM_052817082.1	LOC128155391
CA|XM_052817083.1	LOC128155392
CA|XM_052817084.1	LOC128155393
CA|XM_052817085.1	LOC128155393
CA|XM_052817086.1	LOC128155394
CA|XM_052817087.1	LOC128189658
CA|XM_052817088.1	LOC128155397
CA|XM_052817089.1	LOC128155395
CA|XM_052817090.1	LOC128155399
CA|XM_052817091.1	LOC128155401
CA|XM_052817092.1	LOC128155403
CA|XM_052817093.1	LOC128155404
CA|XM_052817094.1	LOC128155405
CA|XM_052817095.1	LOC128155395
CA|XM_052817096.1	LOC128155406
CA|XM_052817097.1	LOC128155407
CA|XM_052817098.1	LOC128155407
CA|XM_052817099.1	LOC128155408
CA|XM_052817100.1	LOC128155409
CA|XM_052817101.1	LOC128155410
CA|XM_052817102.1	LOC128155410
CA|XM_052817103.1	LOC128155410
CA|XM_052817104.1	LOC128155412
CA|XM_052817105.1	LOC128155412
CA|XM_052817106.1	LOC128155412
CA|XM_052817107.1	LOC128155415
CA|XM_052817108.1	LOC128155415
CA|XM_052817109.1	LOC128155415
CA|XM_052817110.1	LOC128155415
CA|XM_052817111.1	LOC128155415
CA|XM_052817112.1	LOC128155415
CA|XM_052817113.1	LOC128155417
CA|XM_052817114.1	LOC128155418
CA|XM_052817115.1	LOC128155418
CA|XM_052817116.1	LOC128155419
CA|XM_052817117.1	LOC128155419
CA|XM_052817118.1	LOC128155419
CA|XM_052817119.1	LOC128155420
CA|XM_052817120.1	LOC128155422
CA|XM_052817121.1	LOC128155423
CA|XM_052817122.1	LOC128155424
CA|XM_052817123.1	LOC128193000
CA|XM_052817124.1	LOC128155421
CA|XM_052817125.1	LOC128155426
CA|XM_052817126.1	LOC128155426
CA|XM_052817127.1	LOC128155427
CA|XM_052817128.1	LOC128155428
CA|XM_052817129.1	LOC128155429
CA|XM_052817130.1	LOC128155430
CA|XM_052817131.1	LOC128155432
CA|XM_052817132.1	LOC128155433
CA|XM_052817133.1	LOC128155433
CA|XM_052817134.1	LOC128155431
CA|XM_052817135.1	LOC128155434
CA|XM_052817136.1	LOC128155435
CA|XM_052817137.1	LOC128155436
CA|XM_052817138.1	LOC128155436
CA|XM_052817139.1	LOC128155437
CA|XM_052817140.1	LOC128155439
CA|XM_052817141.1	LOC128155439
CA|XM_052817142.1	LOC128155441
CA|XM_052817143.1	LOC128155442
CA|XM_052817144.1	LOC128155443
CA|XM_052817145.1	LOC128155440
CA|XM_052817146.1	LOC128155445
CA|XM_052817147.1	LOC128155445
CA|XM_052817148.1	LOC128155446
CA|XM_052817149.1	LOC128155447
CA|XM_052817150.1	LOC128155448
CA|XM_052817151.1	LOC128155448
CA|XM_052817152.1	LOC128155448
CA|XM_052817153.1	LOC128155450
CA|XM_052817154.1	LOC128155451
CA|XM_052817155.1	LOC128155452
CA|XM_052817156.1	LOC128155449
CA|XM_052817157.1	LOC128155452
CA|XM_052817158.1	LOC128155453
CA|XM_052817159.1	LOC128155454
CA|XM_052817160.1	LOC128155455
CA|XM_052817161.1	LOC128155456
CA|XM_052817162.1	LOC128155457
CA|XM_052817163.1	LOC128155457
CA|XM_052817164.1	LOC128155458
CA|XM_052817165.1	LOC128155458
CA|XM_052817166.1	LOC128155458
CA|XM_052817167.1	LOC128155460
CA|XM_052817168.1	LOC128155459
CA|XM_052817169.1	LOC128155461
CA|XM_052817170.1	LOC128155461
CA|XM_052817171.1	LOC128155462
CA|XM_052817172.1	LOC128155466
CA|XM_052817173.1	LOC128155467
CA|XM_052817174.1	LOC128155459
CA|XM_052817175.1	LOC128155468
CA|XM_052817176.1	LOC128155468
CA|XM_052817177.1	LOC128155468
CA|XM_052817178.1	LOC128155468
CA|XM_052817179.1	LOC128155468
CA|XM_052817180.1	LOC128155468
CA|XM_052817181.1	LOC128155468
CA|XM_052817182.1	LOC128155468
CA|XM_052817183.1	LOC128155468
CA|XM_052817184.1	LOC128155468
CA|XM_052817185.1	LOC128155470
CA|XM_052817186.1	LOC128155470
CA|XM_052817187.1	LOC128155471
CA|XM_052817188.1	LOC128155469
CA|XM_052817189.1	LOC128155471
CA|XM_052817190.1	LOC128155474
CA|XM_052817191.1	LOC128155475
CA|XM_052817192.1	LOC128155475
CA|XM_052817193.1	LOC128155476
CA|XM_052817194.1	LOC128155476
CA|XM_052817195.1	LOC128155478
CA|XM_052817196.1	LOC128155478
CA|XM_052817197.1	LOC128155478
CA|XM_052817198.1	LOC128155479
CA|XM_052817199.1	LOC128193000
CA|XM_052817200.1	LOC128155477
CA|XM_052817201.1	LOC128155480
CA|XM_052817202.1	LOC128155481
CA|XM_052817203.1	LOC128155482
CA|XM_052817204.1	LOC128155483
CA|XM_052817205.1	LOC128155483
CA|XM_052817206.1	LOC128155484
CA|XM_052817207.1	LOC128155485
CA|XM_052817208.1	LOC128155487
CA|XM_052817209.1	LOC128155488
CA|XM_052817210.1	LOC128155490
CA|XM_052817211.1	LOC128155486
CA|XM_052817212.1	LOC128155490
CA|XM_052817213.1	LOC128155490
CA|XM_052817214.1	LOC128155490
CA|XM_052817215.1	LOC128155491
CA|XM_052817216.1	LOC128155492
CA|XM_052817217.1	LOC128155492
CA|XM_052817218.1	LOC128155493
CA|XM_052817219.1	LOC128155493
CA|XM_052817220.1	LOC128155486
CA|XM_052817221.1	LOC128155493
CA|XM_052817222.1	LOC128155494
CA|XM_052817223.1	LOC128155495
CA|XM_052817224.1	LOC128155495
CA|XM_052817225.1	LOC128155495
CA|XM_052817226.1	LOC128155495
CA|XM_052817227.1	LOC128155496
CA|XM_052817228.1	LOC128155496
CA|XM_052817229.1	LOC128155486
CA|XM_052817230.1	LOC128155497
CA|XM_052817231.1	LOC128155497
CA|XM_052817232.1	LOC128155498
CA|XM_052817233.1	LOC128155499
CA|XM_052817234.1	LOC128155499
CA|XM_052817235.1	LOC128155499
CA|XM_052817236.1	LOC128155500
CA|XM_052817237.1	LOC128155486
CA|XM_052817238.1	LOC128155501
CA|XM_052817239.1	LOC128155502
CA|XM_052817240.1	LOC128155503
CA|XM_052817241.1	LOC128155504
CA|XM_052817242.1	LOC128155504
CA|XM_052817243.1	LOC128155504
CA|XM_052817244.1	LOC128155504
CA|XM_052817245.1	LOC128155504
CA|XM_052817246.1	LOC128155504
CA|XM_052817247.1	LOC128155504
CA|XM_052817248.1	LOC128155506
CA|XM_052817249.1	LOC128155507
CA|XM_052817250.1	LOC128155507
CA|XM_052817251.1	LOC128155508
CA|XM_052817252.1	LOC128155509
CA|XM_052817253.1	LOC128155509
CA|XM_052817254.1	LOC128155509
CA|XM_052817255.1	LOC128155509
CA|XM_052817256.1	LOC128155512
CA|XM_052817257.1	LOC128155510
CA|XM_052817258.1	LOC128155513
CA|XM_052817259.1	LOC128155513
CA|XM_052817260.1	LOC128155514
CA|XM_052817261.1	LOC128155515
CA|XM_052817262.1	LOC128155515
CA|XM_052817263.1	LOC128155515
CA|XM_052817264.1	LOC128155515
CA|XM_052817265.1	LOC128155515
CA|XM_052817266.1	LOC128155515
CA|XM_052817267.1	LOC128155515
CA|XM_052817268.1	LOC128155515
CA|XM_052817269.1	LOC128155515
CA|XM_052817270.1	LOC128155517
CA|XM_052817271.1	LOC128155516
CA|XM_052817272.1	LOC128155517
CA|XM_052817273.1	LOC128155518
CA|XM_052817274.1	LOC128155520
CA|XM_052817275.1	LOC128155522
CA|XM_052817276.1	LOC128155523
CA|XM_052817277.1	LOC128155525
CA|XM_052817278.1	LOC128155525
CA|XM_052817279.1	LOC128155525
CA|XM_052817280.1	LOC128155525
CA|XM_052817281.1	LOC128155525
CA|XM_052817282.1	LOC128193000
CA|XM_052817283.1	LOC128155525
CA|XM_052817284.1	LOC128155525
CA|XM_052817285.1	LOC128155525
CA|XM_052817286.1	LOC128155525
CA|XM_052817287.1	LOC128155525
CA|XM_052817288.1	LOC128155525
CA|XM_052817289.1	LOC128155527
CA|XM_052817290.1	LOC128155528
CA|XM_052817291.1	LOC128155526
CA|XM_052817292.1	LOC128155529
CA|XM_052817293.1	LOC128155529
CA|XM_052817294.1	LOC128155530
CA|XM_052817295.1	LOC128155531
CA|XM_052817296.1	LOC128155532
CA|XM_052817297.1	LOC128155532
CA|XM_052817298.1	LOC128155533
CA|XM_052817299.1	LOC128155534
CA|XM_052817300.1	LOC128155538
CA|XM_052817301.1	LOC128155535
CA|XM_052817302.1	LOC128155539
CA|XM_052817303.1	LOC128155540
CA|XM_052817304.1	LOC128155541
CA|XM_052817305.1	LOC128155541
CA|XM_052817306.1	LOC128155542
CA|XM_052817307.1	LOC128155543
CA|XM_052817308.1	LOC128155543
CA|XM_052817309.1	LOC128155544
CA|XM_052817310.1	LOC128155546
CA|XM_052817311.1	LOC128155546
CA|XM_052817312.1	LOC128155546
CA|XM_052817313.1	LOC128155546
CA|XM_052817314.1	LOC128155545
CA|XM_052817315.1	LOC128155546
CA|XM_052817316.1	LOC128155547
CA|XM_052817317.1	LOC128155549
CA|XM_052817318.1	LOC128155549
CA|XM_052817319.1	LOC128155551
CA|XM_052817320.1	LOC128155551
CA|XM_052817321.1	LOC128155553
CA|XM_052817322.1	LOC128155554
CA|XM_052817323.1	LOC128155555
CA|XM_052817324.1	LOC128155556
CA|XM_052817325.1	LOC128155557
CA|XM_052817326.1	LOC128155558
CA|XM_052817327.1	LOC128155559
CA|XM_052817328.1	LOC128155560
CA|XM_052817329.1	LOC128155560
CA|XM_052817330.1	LOC128155561
CA|XM_052817331.1	LOC128155561
CA|XM_052817332.1	LOC128155563
CA|XM_052817333.1	LOC128155564
CA|XM_052817334.1	LOC128155562
CA|XM_052817335.1	LOC128155566
CA|XM_052817336.1	LOC128155567
CA|XM_052817337.1	LOC128155570
CA|XM_052817338.1	LOC128155571
CA|XM_052817339.1	LOC128155571
CA|XM_052817340.1	LOC128155573
CA|XM_052817341.1	LOC128155574
CA|XM_052817342.1	LOC128155575
CA|XM_052817343.1	LOC128155572
CA|XM_052817344.1	LOC128155575
CA|XM_052817345.1	LOC128155575
CA|XM_052817346.1	LOC128155575
CA|XM_052817347.1	LOC128155575
CA|XM_052817348.1	LOC128155576
CA|XM_052817349.1	LOC128155576
CA|XM_052817350.1	LOC128155577
